"대장관리번호","시설물 종류 코드","코드명","수량(개)","면적(㎡)","연장(m)","빗물 관리량(㎥/h)","저류 용량(㎥)","자치구코드","자치구명","준공일"
"1485","FGN07","옥상녹화","0","152","0","0","0","11500","강서구","2017-07-24 00:00:00.0"
"1483","FGN001","투수성포장","0","8106","0","138","0","11500","강서구","2017-07-28 00:00:00.0"
"1482","FGN005","정방형침투통","7","0","0","1","0","11500","강서구","2017-07-10 00:00:00.0"
"1481","FGN001","투수성포장","0","402","0","7","0","11500","강서구","2017-07-28 00:00:00.0"
"1480","FGN003","침투트렌치","0","0","66","5","0","11380","은평구","2017-06-27 00:00:00.0"
"1479","FGN001","투수성포장","0","127","0","2","0","11680","강남구","2017-06-23 00:00:00.0"
"1478","FGN005","정방형침투통","11","0","0","1","0","11500","강서구","2017-06-30 00:00:00.0"
"1477","FGN07","옥상녹화","0","561","0","2","0","11500","강서구","2017-06-22 00:00:00.0"
"1476","FGN07","옥상녹화","0","198","0","1","0","11380","은평구","2017-05-04 00:00:00.0"
"1475","FGN07","옥상녹화","0","207","0","1","0","11500","강서구","2017-05-08 00:00:00.0"
"1473","FGN004","원형침투통","16","0","0","6","0","11200","성동구","2017-06-30 00:00:00.0"
"1472","FGN001","투수성포장","0","885","0","15","0","11110","종로구",""
"1471","FGN001","투수성포장","0","323","0","5","0","11500","강서구",""
"1470","FGN004","원형침투통","3","0","0","1","0","11650","서초구",""
"1469","FGN001","투수성포장","0","236","0","4","0","11560","영등포구",""
"1468","FGN001","투수성포장","0","76","0","1","0","11560","영등포구","2017-04-17 00:00:00.0"
"1467","FGN005","정방형침투통","5","0","0","1","0","11560","영등포구",""
"1466","FGN07","옥상녹화","0","212","0","1","0","11170","용산구",""
"1465","FGN005","정방형침투통","4","0","0","1","0","11200","성동구",""
"1464","FGN07","옥상녹화","0","50","0","0","0","11215","광진구",""
"1463","FGN003","침투트렌치","0","","23","1","","11560","영등포구",""
"1462","FGN003","침투트렌치","0","","85","5","","11560","영등포구",""
"1461","FGN005","정방형침투통","7","","","1","","11410","서대문구",""
"1460","FGN001","투수성포장","0","32","","1","","11680","강남구",""
"1459","FGN002","침투측구","0","","20","2","","11410","서대문구",""
"1458","FGN07","옥상녹화","0","","","0","","11680","강남구",""
"1456","FGN003","침투트렌치","0","0","82","5","0","11680","강남구",""
"1455","FGN001","투수성포장","0","730","0","12","0","11170","용산구","2017-02-20 00:00:00.0"
"1454","FGN07","옥상녹화","0","168","0","0","0","11650","서초구",""
"1453","FGN07","옥상녹화","0","792","0","2","0","11710","송파구","2017-02-14 00:00:00.0"
"1452","FGN07","옥상녹화","0","31","0","1","0","11650","서초구",""
"1451","FGN07","옥상녹화","0","160","0","1","0","11680","강남구",""
"1450","FGN005","정방형침투통","29","0","0","1","0","11410","서대문구",""
"1449","FGN07","옥상녹화","0","42","0","1","0","11560","영등포구","2017-01-20 00:00:00.0"
"1448","FGN07","옥상녹화","0","90","0","0","0","11110","종로구","2017-02-16 00:00:00.0"
"1447","FGN07","옥상녹화","0","0","0","1","10","11680","강남구",""
"1446","FGN005","정방형침투통","13","","","2","","11410","서대문구",""
"1445","FGN005","정방형침투통","5","0","0","1","0","11680","강남구",""
"1444","FGN07","옥상녹화","0","","","0","","11440","마포구",""
"1443","FGN001","투수성포장","0","27","","0","","11440","마포구",""
"1442","FGN003","침투트렌치","60","","0","3","","11680","강남구",""
"1441","FGN001","투수성포장","0","175","","3","","11530","구로구",""
"1440","FGN005","정방형침투통","3","","","1","","11680","강남구",""
"1439","FGN07","옥상녹화","0","","","1","1","11650","서초구",""
"1438","FGN07","옥상녹화","0","49","0","1","0","11530","구로구",""
"1437","FGN003","침투트렌치","0","0","46","3","0","11530","구로구",""
"1436","FGN003","침투트렌치","0","0","269","22","0","11530","구로구",""
"1435","FGN005","정방형침투통","2","","","1","0","11215","광진구",""
"1434","FGN07","옥상녹화","0","120","0","0","0","11560","영등포구","2017-01-03 00:00:00.0"
"1433","FGN07","옥상녹화","0","37","","0","","11215","광진구",""
"1432","FGN07","옥상녹화","0","166","0","1","0","11470","양천구",""
"1431","FGN003","침투트렌치","0","","149","8","","11620","관악구",""
"1430","FGN07","옥상녹화","0","86","0","0","0","11710","송파구","2017-01-19 00:00:00.0"
"1429","FGN07","옥상녹화","0","77","0","0","0","11710","송파구","2017-02-09 00:00:00.0"
"1428","FGN07","옥상녹화","0","109","0","1","","11680","강남구",""
"1427","FGN07","옥상녹화","0","99","0","1","0","11710","송파구",""
"1426","FGN003","침투트렌치","0","","41","2","","11290","성북구",""
